I_bias_A,L_ac_H,I_ac_wdg_A
0.01,3.522789929125646e-05,0.05
0.06067796610169492,3.48231028917628e-05,0.05
0.11135593220338984,3.322698338491332e-05,0.05
0.16203389830508477,3.113644424610696e-05,0.05
0.2127118644067797,2.826960726869488e-05,0.05
0.26338983050847464,2.580422238600664e-05,0.05
0.31406779661016954,2.376973077770688e-05,0.05
0.36474576271186443,2.1930134776125758e-05,0.05
0.4154237288135594,1.999347291863088e-05,0.05
0.4661016949152543,1.8333498880937526e-05,0.05
0.5167796610169493,1.7162197748511016e-05,0.05
0.5674576271186441,1.6378519631211362e-05,0.05
0.6181355932203391,1.5800918709709624e-05,0.05
0.668813559322034,1.5196040624342786e-05,0.05
0.7194915254237289,1.4494352513928652e-05,0.05
0.7701694915254238,1.3716491027799942e-05,0.05
0.8208474576271187,1.294448259199477e-05,0.05
0.8715254237288137,1.2240745837288212e-05,0.05
0.9222033898305086,1.1642272178583885e-05,0.05
0.9728813559322035,1.1138638270880162e-05,0.05
1.0235593220338985,1.0713116963960672e-05,0.05
1.0742372881355933,1.0351573483760134e-05,0.05
1.1249152542372882,1.0038897789194388e-05,0.05
1.1755932203389832,9.766535141745046e-06,0.05
1.2262711864406781,9.529054629482661e-06,0.05
1.276949152542373,9.318386085205938e-06,0.05
1.327627118644068,9.129416208379942e-06,0.05
1.378305084745763,8.957467122789006e-06,0.05
1.4289830508474577,8.799758711226778e-06,0.05
1.4796610169491526,8.654868380341463e-06,0.05
1.5303389830508476,8.520701475995608e-06,0.05
1.5810169491525425,8.394618741152233e-06,0.05
1.6316949152542375,8.275257139768257e-06,0.05
1.6823728813559324,8.161771381185791e-06,0.05
1.7330508474576274,8.05388486348351e-06,0.05
1.7837288135593223,7.951006075813923e-06,0.05
1.8344067796610173,7.85359234109063e-06,0.05
1.885084745762712,7.760033492397895e-06,0.05
1.935762711864407,7.67096061709134e-06,0.05
1.986440677966102,7.5854743353031194e-06,0.05
2.037118644067797,7.504149059031917e-06,0.05
2.0877966101694914,7.427010124733868e-06,0.05
2.1384745762711863,7.3538199348323195e-06,0.05
2.1891525423728813,7.284752377055862e-06,0.05
2.239830508474576,7.219686887844798e-06,0.05
2.290508474576271,7.158690364599079e-06,0.05
2.341186440677966,7.101862954096537e-06,0.05
2.391864406779661,7.049080465557208e-06,0.05
2.442542372881356,7.000168177798834e-06,0.05
2.493220338983051,6.95462060988986e-06,0.05
2.543898305084746,6.91249236628926e-06,0.05
2.594576271186441,6.8732776272052955e-06,0.05
2.645254237288136,6.83675067331684e-06,0.05
2.6959322033898308,6.802381120591032e-06,0.05
